ProductID,ProductName,AvailableQuantity,MRP,SalePrice,Category,Subcategory,Brand,After Discount,% discount
11569956,Babyhug Cotton Fix Pillow Mat With Car Print - Pink| Soft and Comfortable|  Light Weight and Travel Friendly| Foldable| New Born Gifting Option| For Boys and Girls| Use on Floor Cribs Cots or Cradle| 100% Cotton Fabric,1,895,895,Nursery,Baby Bedding Sets & Pillows,Babyhug,670,25
17182207,Babyhug Booster Cushion - Pink| Easy to Install| Wipe Clean| Soft & Comfortable,1,595,595,Baby Gear,High Chairs & Booster Seats,Babyhug,386,35
9045463,Babyhug Premium U Shape Pillow Fish Print - Blue,1,325,325,Nursery,Baby Bedding Sets & Pillows,Babyhug,,
14116025,Babyhug Amber Ace Car Seat Cum Carry Cot With Mosquito Net with 1 Year Warranty - Red| Rocker & Feeding Chair| Adjustable Handle Position| Safety Harness| Removable Canopy & Mosquito Net| Soft Padded Cushion| Removable & Washable Seat Cover,1,5295,5295,Baby Gear,Baby Car Seats,Babyhug,3388,36
20257078,Babyhug Lightweight Single Ply Mink Blanket Avacado Print - Blue,1,425,425,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,255,40
13859803,Babyhug Single Ply Mink Blanket Sheep Print - Navy Blue,1,425,425,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,276,35
15433693,Baby On Board Sticker - Yellow,1,195,195,Baby Gear,Baby Car Seats,Fab N Funky,118,39
17429266,Babyhug Marvel Foldable Storage Bin Spider Man Theme- Red,1,599,599,Nursery,Storage & Organization,Babyhug Marvel,365,39
19186960,Kids Swing Car with Light & Music - Green,1,2595,2595,Baby Gear,Ride-ons & Scooters,Fab N Funky,1608,38
19876474,Fire Fighter Theme Manual Push Ride On With Music - Red,1,1749,1749,Baby Gear,Ride-ons & Scooters,Fab N Funky,1014,42
21587645,Babyhug Kids Twister Swing Car with Comfortable Seat - Pink & Dark Pink| Easy to Handle| Built for Rough Play| Encourages Physical Activity| Smooth Wheels| For Kids of 3 to 8 years| Sport Gift,1,1595,1595,Baby Gear,Ride-ons & Scooters,Babyhug,1020,36
14233180,Babyhug 100% Cotton Digital Printed Cot Bumper Travel Theme -Multicolour,1,1999,1999,Nursery,Baby Bedding Sets & Pillows,Babyhug,1339,33
11864638,Kids Travel Suitcase Trolley Bag with Wheels - 18 Inches luggage & 15 Inches Backpack| Shock Resistant| Telescopic Handle| Water Resistant| Easy Zipper Closure| Smooth Durable Wheels| Padded Shoulder Strap,1,5995,5995,Nursery,Travel Accessories,Fab N Funky,3597,40
2158349,Fisher Price Mattress Set Panda & Giraffe Print Multi Colour - 4 Pieces,1,1999,1999,Nursery,Baby Bedding Sets & Pillows,Fisher Price By NB,1739,13
11506300,Babyhug  Plug & Play Stallion Tricycle with Parental Push Handle & Foldable Canopy - Red Black,1,4795,4795,Baby Gear,Tricycles & Bikes,Babyhug,2924,39
11616315,Babyhug Zest Musical Baby Walker With Adjustable Height anti Fall Protection & Toy Bar- Black White,1,6995,6995,Baby Gear,Baby Walkers,Babyhug,5858,16
3106541,Babyhug Portable Baby Mosquito Net Large  - Blue,1,1069,1069,Nursery,Mosquito Nets,Babyhug,,
2580431,Babyhug Melody Stroller With Reversible Handle & Canopy - Black,1,8495,8495,Baby Gear,Baby Strollers & Prams,Babyhug,5606,34
13854770,Babyhug 100% Premium Cotton Baby Bedding Set Car Print- Pink| New Born Gifting Option| For Boys and Girls| Pillow and Bolsters| Light Weight and Travel Friendly| Baby Safe Material| Delicate on Babys skin| Versatile Use| Use on Floor Cribs Cots or C,1,1599,1599,Nursery,Baby Bedding Sets & Pillows,Babyhug,1103,31
8077250,Babyhug Sherin & Poly Wool All Season Blanket Vehicle Design - Multicolor (Blankets Fur Color May Vary),1,695,695,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,385,44
17515363,Smart Portable with Safety Lock Playpen with Play Gate Fence - Pink,1,4495,4495,Nursery,Baby Furniture,Fab N Funky,2876,36
8385310,Babyhug Premium Sleeping Bag Unicorn Print - Pink,1,1299,1299,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,922,29
3343174,Babyhug Portable Baby Mosquito Net Medium - Yellow,1,795,795,Nursery,Mosquito Nets,Babyhug,524,34
18305334,NEW COMER 3 in 1 Baby Bed Sleeping Bag & Carry Nest Infant Portable Bassinet for Baby Carrying-pink,1,779,779,Nursery,Blankets  Wrappers & Sleeping Bags,NEW COMERS,654,16
650956,Babyhug Baby Panda Gyro Swing Car With Steering Wheel - Black & White,1,2695,2695,Baby Gear,Ride-ons & Scooters,Babyhug,2257,16
2288081,Babyhug Lion Print 2 in 1 Cradle cum bassinet with Mosquito Net and Swing Lock function - Pink,1,7995,7995,Nursery,Baby Furniture,Babyhug,5196,35
3036152,Babyhug Cotton Bedding Set Vehicle Print - Red,1,1595,1595,Nursery,Baby Bedding Sets & Pillows,Babyhug,1164,27
12275584,Babyhug Cotton Cot Bumper Soccer Print -Green,1,1999,1999,Nursery,Baby Bedding Sets & Pillows,Babyhug,1301,34
16096394,Babyhug Deer Theme Kids Kick Scooter with LED Wheels Wide Standing Deck & 3 Level Height Adjustment - Yellow Orange,1,3195,3195,Baby Gear,Ride-ons & Scooters,Babyhug,0,0
9160294,Babyhug Premium 100% Cotton Embroidered Quilt In Transport Theme - Multicolor| Soft and Comfortable| Breatable Fabric| New Born Gifting Option| Light Weight and Foldable| Travel Friendly| Machine Washable,1,2095,2095,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,1403,33
17744542,Babyhug Disney Minnie Printed Playpen - Pink,1,7995,7995,Nursery,Baby Furniture,Babyhug Disney,3357,58
3036146,Babyhug Sleeping Bag Parkland Print - Multicolor,1,895,895,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,628,29
18469237,Babyhug Disney Swaddle Cool Mickey Print Set of 2 - Blue & White,1,1099,1099,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug Disney,802,27
9333728,Babyhug Cotton Head Shaping 1 Kg Mustard Seeds/Rai Pillow Car Print - Navy Blue,1,595,595,Nursery,Baby Bedding Sets & Pillows,Babyhug,434,27
18114587,Yellow Apple Fleece Solid Baby Blanket - Beige,1,499,499,Nursery,Blankets  Wrappers & Sleeping Bags,Yellow Apple,397,20
2810519,Babyhug Premium 3 Layered Baby Muslin Blanket Car Print -Navy Blue,1,1795,1795,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,1220,32
19002897,Baby Walker with Height & Seat Adjustment - Pink,1,2495,2495,Baby Gear,Baby Walkers,Fab N Funky,0,0
